"Station","Epiyear","Epiweek","Date","Daily_Rainfall_Total_mm","Highest_30_Min_Rainfall_mm","Highest_60_Min_Rainfall_mm","Highest_120_Min_Rainfall_mm","Mean_Temperature_degC","Maximum_Temperature_degC","Minimum_Temperature_degC","Mean_Wind_Speed_kmh","Max_Wind_Speed_kmh"
"Admiralty",2012,37,2012-09-09,25.4,NA,NA,NA,25.8,31.8,23.7,5.8,36
"Admiralty",2012,37,2012-09-10,0,NA,NA,NA,26.7,30.2,24,7.1,36.4
"Admiralty",2012,37,2012-09-11,3,NA,NA,NA,27.7,31.1,23.8,5.1,43.9
"Admiralty",2012,37,2012-09-12,0,NA,NA,NA,28.6,31.8,25.5,6.2,30.6
"Admiralty",2012,37,2012-09-13,2.4,NA,NA,NA,27.8,31.2,25.4,6.7,36.7
"Admiralty",2012,37,2012-09-14,0,NA,NA,NA,28.3,31.4,25,5.7,30.2
"Admiralty",2012,37,2012-09-15,0,NA,NA,NA,28.6,32.4,26.3,5.6,27
"Admiralty",2012,38,2012-09-16,0,NA,NA,NA,29.1,32.4,26.7,5.5,25.6
"Admiralty",2012,38,2012-09-17,0,NA,NA,NA,27.8,33.1,24.9,7.1,37.8
"Admiralty",2012,38,2012-09-18,0,NA,NA,NA,29.2,34.3,24.8,6.1,21.2
"Admiralty",2012,38,2012-09-19,1.2,NA,NA,NA,28.2,33.2,25.5,6.8,31
"Admiralty",2012,38,2012-09-20,0,NA,NA,NA,28.1,33.5,25.3,5.5,29.9
"Admiralty",2012,38,2012-09-21,38.6,NA,NA,NA,26.6,31,22.9,6.2,32
"Admiralty",2012,38,2012-09-22,0,NA,NA,NA,27.7,32.9,24,5.6,27.4
"Admiralty",2012,39,2012-09-23,0,NA,NA,NA,28.4,33.2,25.5,5.8,34.9
"Admiralty",2012,39,2012-09-24,5.4,NA,NA,NA,27.8,31.4,25.2,6.8,33.5
